Subject,Subcategory,nyc_Estimate,nyc_Margin_of_Error,nyc_Percent,nyc_Percent_MoE
Total population,,8461961.0,,8461961.0,
Total population,,8461961.0,,8461961.0,
White,,3644982.0,10816.0,43.1,0.1
Black or African American,,2064927.0,7053.0,24.4,0.1
American Indian and Alaska Native,,33388.0,2183.0,0.4,0.1
Asian,,1159883.0,3522.0,13.7,0.1
Total population,,8461961.0,,8461961.0,
White,,3835908.0,11972.0,45.3,0.1
Black or African American,,2199437.0,7640.0,26.0,0.1
American Indian and Alaska Native,,83835.0,3434.0,1.0,0.1
Asian,,1256671.0,2834.0,14.9,0.1
Total population,,8461961.0,,8461961.0,
Hispanic or Latino (of any race),,2457945.0,,29.0,
